property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Sushant Lok Phase 2,https://www.99acres.com/residential-land-plot-for-sale-in-sushant-lok-phase-2-gurgaon-300-sq-yard-spid-E69954478,,5.9 Crore,(251 sq.m.) Plot Area,"Sushant Lok Phase 2, Gurgaon, Haryana",,3,Immediate,"['Mg road metro station', 'Iffco chowk metro station', 'Arya Samaj Mandir', 'Jain Bhawan', 'Punjab national bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Axis bank ATM', 'Standard chartered ATM', 'Privat Hospital', 'Umkal Hospital', 'Sidhesh Hospital Gurgaon', 'Thukral Hospital', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Community Center Sukhrali', 'Neelkanth Medico', 'Religare Wellness', '98.4', 'Guardian', 'DLF Cyber City Phase II', 'DT Cinemas', 'DT Cinemas', 'PVR Metropolitan', 'PVR Cinames', 'PVR Cinames', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'Kotak mahindra bank', 'Hsbc bank', 'Axis bank', 'Barbecue Grill', 'Pan Bangkok', 'NutrioBox Gurugram', 'Pizza Hut', 'Roots', 'CCD', 'Belgian Waffle', 'Drunken Monkey', 'Dighent cafe', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Fat', 'Gravity Space Bar', 'American Montessori', 'Bahrisons library']",Residential land available for sell.Located in sushant lok phase 2.Available at an price of rs 59000000.,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",E69954478
Residential land / Plot in Sidhrawali,https://www.99acres.com/residential-land-plot-for-sale-in-sidhrawali-gurgaon-4840-sq-yard-r2-spid-W63325962,,5 Crore,(4047 sq.m.) Plot Area,"Sidhrawali, Gurgaon, Haryana",,,Immediate,,"It's land on road ... Ready to move in 
Residential land for sale
In sidhrawali, , gurgaon, haryana",,,W63325962
Residential land / Plot in Dharam Colony,https://www.99acres.com/residential-land-plot-for-sale-in-dharam-colony-gurgaon-106-sq-yard-spid-W69947914,,80 Lac,(89 sq.m.) Plot Area,"Dharam Colony, Gurgaon, Haryana",4 Floors,1,Immediate,"['Palam triangle', 'Palam Vihar Vyapar kendra', 'HUDA Sector 23 Market', 'Ram Mandir', 'Sheetla Mata Mandir', 'Kalyan Hospital Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Chirag Hospital Pvt. Ltd', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Yashroop Medical Centre', 'R K Hospital Gurgaon', 'Jeevan Jyoti Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Apollo Cradle Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Sheetla Clinic', 'Kishor Clinic', 'Children Hospital', 'Bhardwaj Hospital', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Big Cinemas', ""McDonald's"", 'Moti Mahal', 'Pind Baluchi', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Om Sweets', 'Cafe Coffee Day', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Swiss Cottage school', 'Lieutenant Atul Kataria School', 'Palam vihar railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",106 sq-Yrd residential plot sun facing available for sale in dharam colony gurgaon haryana,"['Water Storage', 'Rain Water Harvesting']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5']",W69947914
Residential land / Plot in Sector 90 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-250-sq-yard-spid-U69934436,DLF New Town Heights 13.9 ★,2.9 Crore,(209 sq.m.) Plot Area,"Sector 90 Gurgaon, Gurgaon, Haryana",,1,,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']","Nearby park, nearby hospital,nearby school, nearby multiple malls, gated society, near galleria, wide roads,","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5']",U69934436
Residential land / Plot in Sector 38 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-38-gurgaon-60-sq-yard-spid-S69928960,,1.25 Crore,(50 sq.m.) Plot Area,"Sector 38 Gurgaon, Gurgaon, Haryana",3 Floors,1,Immediate,"['Rajiv Chowk Mosque', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc bank ATM', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Samvit Health Care', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', 'Bansal Medicare and Maternity Centre', 'Airforce Hospital', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Meher Clinic', 'Best Urologist Atcomplete Family Clinic', 'Smile Plus Dental Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dayal Eye & Maternity Centre', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'SRS Cinemas', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'KFC', 'Darbar', 'Haldiram', 'Raj Restaurant', 'Om Sweets', 'Fast food', 'Fast Food', 'Kendriya Vidyalaya No.2 Sohna Road', 'CR Model Public School', 'Delhi Public School Primary Section', 'Manav Rachna School', 'Amity Global School', 'Manav Rachna Swimming Pool']","Direct e auction fresh allotment from hsvp.
Opposite to medanta hospital 
Walking distance 300 mtrs from mumbai highway sohna road, about 500 mtrs from subhash chowk n rajiv chowk. 
Upcoming metro at subhash chowk.",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",S69928960
Residential land / Plot in Sector 70A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-bptp-astaire-gardens-sector-70-a-gurgaon-289-sq-yard-spid-U69926624,BPTP Astaire Gardens3.7 ★,8 Crore,(242 sq.m.) Plot Area,"Sector 70a, Sector 70A Gurgaon, Gurgaon, Haryana",,1,undefined,"['Sector 54 Chowk Metro Station', 'Airia Mall', 'Southern Peripheral Road', 'Badshahpur Sohna Rd Hwy', 'Kunskapsskolan International School', 'DPG Degree College', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Intellion Edge', 'Hyatt Regency Gurgaon', 'De Adventure Park', 'Tau DeviLal Sports Complex']",Half acer land in bptp sector 70a bptp astaire gardens sector 70a,,"['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",U69926624
Residential land / Plot in Sector 42 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-42-gurgaon-82-sq-yard-spid-Q69924792,,1.75 Crore,(69 sq.m.) Plot Area,"Sector 42 Gurgaon, Gurgaon, Haryana",,1,Immediate,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'New Life Church', 'Hanuman Mandir', 'Icici bank ATM', 'Rbs ATM', 'Indusind bank ATM', 'Citi bank ATM', 'Icici bank ATM', 'Hdfc ATM', 'The Dental Lounge', 'Marwah Clinic', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Gupta', 'Sikka Maternity And Surgical Center', 'Guardian Pharmacy', 'Chikitsa', 'Apollo Pharmacy', 'HCG CNG Station', 'Hdfc bank & atm', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Kotak mahindra bank', 'Indusind bank', 'State bank of india', 'Starbucks', 'Shophouse by Kylin', ""Carl's Jr."", 'Clock tower', 'Sagar Ratna', 'Cafe Tonini', 'Naivedyam Restaurant', 'Burger Singh', 'Bikanerwala', 'Wat-a-Burger', 'Food Court', 'Nowhere Brewpub and cafe', 'The Chicken Boat', 'Fat', 'Iilm University', 'IILM', 'Suncity School']",Residential land available for sell.Located in sector 42 gurgaon.Available at an price of rs 17500000.,,,Q69924792
Residential land / Plot in Laxman Vihar,https://www.99acres.com/residential-land-plot-for-sale-in-not-applicable-laxman-vihar-gurgaon-21780-sq-yard-spid-D69914026,Not Applicable,7.5 Crore,(18211 sq.m.) Plot Area,"Laxman Vihar, Gurgaon, Haryana",1 Floors,,Immediate,"['Chintapurni Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Dr. Hitesh Dawar', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Esic Hospital Gurugram', 'Dr. Ashok Jain', 'Dr. Sindhu Clinic', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', 'R K Hospital Gurgaon', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Taneja Hospital', 'Aryan Hospital', 'Chirag Hospital Pvt. Ltd', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Agya Ram Sharma Clinic', 'Dev Man Kathuria Clinic', 'GH Gurgaon', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'My Care Clinic', 'Satyam Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","We have a land available for sale in farukhnagar, gurgaon. Available at price of rs 7.5 crores. It has plot area of 4.5 acres. It has 1 rk, 1 bathroom, 0 balcony.It is a freehold property",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",D69914026
Residential land / Plot in Sector 15 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-15-gurgaon-280-sq-yard-spid-U69911242,1494 AP,5.25 Crore,(234 sq.m.) Plot Area,"1494 Ap Sector 15 Part 2, Delhi Gurgaon Expressway, Sector 15 Gurgaon, Gurgaon, Haryana",,2,Immediate,"['Hanuman Mandir', 'State bank of india ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Hsbc bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Ahmed Hospital Multi Speciality', 'Dayal Eye & Maternity Centre', 'Kalyani Hospital Gurgaon', 'Shivam Hospital Gurgaon', 'Saraswati Hospital Gurgaon', 'Dr. Sandeep Chauhan', 'Lotus Hospital Gurgaon', 'Ahooja Eye and Dental Institute Hospital', 'Nagpal Nursing Home Gurgaon', 'Aarvy Hospital', 'Bansal Medicare and Maternity Centre', 'Mamta Hospital Gurgaon', 'Pushpanjali Hospital', 'Pushpanjali Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Gardian Pharmacy', 'Sector-14 Market', 'IBP Petrol Pump', 'Indian Oil', 'Indian Oil', 'IBP Petrol Station', 'State bank of india sbi', 'Punjab national bank', 'Standard chartered bank', 'Hdfc bank', 'Rang Parivartan', '32nd Milestone', 'Cafe Coffee Day', 'Darbar', 'Bar and restaurant', 'Fast Food', 'Om Sweets', 'Fast food', 'Dhabba', 'Salvan Public School', 'govt sec school', 'CR Model Public School', 'District library gurgaon']","Discover the prime property offering stunning park views, ample natural light, high rental income, and a peaceful location, all while enjoying excelle sector 15 part 2, delhi gurgaon expressway",,"['Environment4.5 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",U69911242
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-180-sq-yard-spid-F69903426,Central Park Flower Valley,3.5 Crore,(151 sq.m.) Plot Area,"Sohna, Sector-33 Sohna, Gurgaon, Haryana",,2,Immediate,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']","180 sq yds, corner plot in one of the most premium and sought after township central park flower valley. The township is situated extremely close to t central park flower valley sohna",,,F69903426
Residential land / Plot in Sector 30 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-30-gurgaon-525-sq-yard-r2-spid-G63641954,silokhra saini khera,4.46 Crore,(439 sq.m.) Plot Area,"Sector 30 Gurgaon, Gurgaon, Haryana",,,Immediate,"['Huda city centre metro station', 'Axis bank ATM', 'Punjab national bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Icici bank ATM', 'Centre For Sight Gurgaon Sector 29', 'Shivam Hospital Gurgaon', 'Sangwan Hospital Gurgaon', 'Nagpal Nursing Home Gurgaon', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'Sector-14 Market', 'IBP Petrol Pump', 'Standard chartered bank', 'Dhabba', 'Cafe Coffee Day', 'Pizza Hut', 'Spaghetti Kitchen & Bar', 'Tocpao', ""Hops 'N' Brew"", ""Domino's Pizza"", ""McDonald's"", '32nd Milestone', 'Ardor 29', 'ADDA', 'Zura', 'The Oriental Bloom Chinese and Thai', 'Gola Sizzles', 'Beer & Whisky Bar', 'Gung the palace Korean restaurant', 'Walking Street', 'MoB Ministory of Beer', 'Bikanervala', 'Park Baluchi', 'Black Mambaa', 'KFC', 'Gravity Space Bar', 'Swagath', 'distillery', 'Bar and restaurant', 'Roots', 'Fast Food', 'Fast food', 'Om Sweets', 'Management Development Institute', 'Salvan Public School']","I am looking for buyer to purchase land available for sale in saini khera, sector 30 , gurgaon. Available at price of rs 4.46 crores. It has plot area of 525 sqyards. It is a freehold property",,"['Environment5 out of 5', 'Safety5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5']",G63641954
Residential land / Plot in Farukhnagar,https://www.99acres.com/residential-land-plot-for-sale-in-farukhnagar-gurgaon-137-sq-yard-spid-K69897002,,63 Lac,(115 sq.m.) Plot Area,"Farukhnagar, Gurgaon, Haryana",,,Immediate,"['Dr. Manish Pandey', 'Shri Bala G Hospital and Trauma Centre', 'Verma Dental Clinic', 'Rana Clinic Farukh Nagar', 'Civil Hospital Farrukh Nagar', 'Vanya Clinic', 'Radha Kishan Hospital', 'Kalawati Hospital and Maternity Center', 'Lord Krishna Hospital', 'Kailash Hospital', 'Vardan Dental Hospital', 'Eye Q Hospital', 'Family Dental Care', 'Sai Ram Hospital']","Looking for buyer to purchase our land available for sale in farukhnagar, gurgaon. Available at price of rs 63 lacs. It has plot area of 137 sq yards. It is a freehold property",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",K69897002
